id,rank
10305,628
3631,629
3948,630
5419,631
4778,632
8716,633
294,634
10148,635
1935,636
9270,637
9474,638
10231,639
7827,640
10338,641
10196,642
366,643
4662,644
10542,645
334,646
469,647
7364,648
7516,649
3761,650
1465,651
4693,652
1219,653
1066,654
222,655
10048,656
465,657
10275,658
6009,659
971,660
10297,661
10531,662
8731,663
10379,664
10306,665
2030,666
6411,667
9979,668
7262,669
10004,670
2093,671
6182,672
3337,673
5335,674
10331,675
10049,676
4214,677
7902,678
7301,679
10059,680
10566,681
10412,682
10448,683
10320,684
2506,685
3297,686
6330,687
3744,688
10256,689
9039,690
2493,691
10328,692
417,693
10340,694
10025,695
1763,696
3891,697
10221,698
7840,699
2649,700
10559,701
10128,702
10551,703
2238,704
7891,705
337,706
7576,707
118,708
9644,709
10076,710
10428,711
1590,712
7114,713
4211,714
7251,715
3486,716
4101,717
1339,718
4053,719
903,720
5557,721
102,722
8490,723
6914,724
7899,725
7767,726
1671,727
161,728
931,729
6185,730
10201,731
2560,732
8080,733
10415,734
9731,735
7818,736
8873,737
9715,738
568,739
9948,740
5847,741
373,742
10294,743
3813,744
4679,745
7876,746
10123,747
116,748
2048,749
2447,750
1443,751
5853,752
9269,753
10131,754
1259,755
9632,756
7213,757
10083,758
4997,759
767,760
1043,761
851,762
4937,763
1100,764
3403,765
527,766
6199,767
10140,768
8642,769
374,770
5090,771
2958,772
9700,773
5461,774
637,775
7520,776
2722,777
10208,778
5819,779
961,780
1917,781
1087,782
885,783
8837,784
1504,785
4383,786
4641,787
1901,788
1290,789
4994,790
4872,791
9646,792
9415,793
2244,794
7547,795
4148,796
6586,797
5042,798
4267,799
2580,800
6018,801
7356,802
9772,803
10406,804
10024,805
7232,806
9389,807
9001,808
10578,809
6499,810
7858,811
5247,812
10054,813
2639,814
4701,815
3904,816
8229,817
482,818
10195,819
10483,820
7320,821
2387,822
7611,823
2666,824
10357,825
8877,826
10079,827
10039,828
8121,829
9939,830
1607,831
9431,832
16,833
313,834
1028,835
10476,836
1124,837
4552,838
6758,839
1918,840
4677,841
10433,842
2060,843
8332,844
10135,845
5511,846
7873,847
10443,848
6610,849
10354,850
4186,851
5808,852
4788,853
4595,854
3570,855
6146,856
1380,857
5716,858
2814,859
5500,860
8007,861
5856,862
3309,863
2303,864
8920,865
10225,866
8945,867
9388,868
8956,869
10336,870
4483,871
773,872
5744,873
6049,874
2448,875
1155,876
3820,877
6864,878
163,879
3949,880
10122,881
7531,882
6639,883
10219,884
10580,885
1170,886
10563,887
7595,888
2021,889
8294,890
7469,891
1957,892
6209,893
4154,894
5857,895
3087,896
9282,897
3634,898
10574,899
824,900
10508,901
9463,902
3019,903
6726,904
7757,905
1371,906
7166,907
310,908
4702,909
4523,910
10432,911
4905,912
10410,913
8331,914
4733,915
5198,916
10576,917
5322,918
4980,919
1139,920
1068,921
10080,922
10052,923
5889,924
4159,925
475,926
7688,927
3245,928
1051,929
4014,930
10515,931
9156,932
1052,933
9250,934
1025,935
7716,936
10005,937
501,938
4504,939
8309,940
321,941
1974,942
2361,943
5635,944
3732,945
4390,946
109,947
2676,948
10317,949
10457,950
10383,951
4649,952
7235,953
3978,954
9197,955
2439,956
4682,957
3702,958
8304,959
3686,960
1859,961
4353,962
10212,963
5667,964
8832,965
10409,966
8812,967
7196,968
8801,969
4094,970
4367,971
7766,972
5836,973
2738,974
5448,975
4879,976
3507,977
6945,978
10046,979
2168,980
3437,981
9167,982
4540,983
1477,984
8312,985
6553,986
7294,987
9641,988
