artist,color
raoul dufy,#FF00FF
franz marc,#808080
jim nutt,#008000
george segal,#00FF00
judith leyster,#800000
kees van dongen,#000080
wols,#808000
taras shevchenko,#800080
anna ostroumova lebedeva,#FF0000
nikola tanev,#C0C0C0
john marin,#008080
pavel svinyin,#FFFFFF
brett whiteley,#FFFF00
vladimir tatlin,#00FFFF
paul serusier,#000000
ilya mashkov,#0000FF
horace pippin,#FF00FF
maxfield parrish,#808080
lasar segall,#008000
fyodor bronnikov,#00FF00
johann koler,#800000
nikolai ge,#000080
frans hals,#808000
nikolaos gyzis,#800080
john atkinson grimshaw,#FF0000
carl larsson,#C0C0C0
lorser feitelson,#008080
antonio carneiro,#FFFFFF
caravaggio,#FFFF00
george bousianis,#00FFFF
theo van doesburg,#000000
henryk siemiradzki,#0000FF
jos sobral de almada negreiros,#FF00FF
alexey bogolyubov,#808080
ivan kramskoy,#008000
john singleton copley,#00FF00
mikhail nesterov,#800000
vasily perov,#000080
pierre narcisse guerin,#808000
jusepe de ribera,#800080
peder severin kroyer,#FF0000
sebastien bourdon,#C0C0C0
lynd ward,#008080
julius bissier,#FFFFFF
theodore rousseau,#FFFF00
hendrick cornelisz vroom,#00FFFF
christen kobke,#000000
david teniers the younger,#0000FF
asgrimur jonsson,#FF00FF
caspar david friedrich,#808080
albert marquet,#008000
j e h macdonald,#00FF00
a y jackson,#800000
piet mondrian,#000080
georges lacombe,#808000
adriaen van de velde,#800080
eugene delacroix,#FF0000
istvan nagy,#C0C0C0
pietro da cortona,#008080
robert brackman,#FFFFFF
alonzo cano,#FFFF00
henri le fauconnier,#00FFFF
anthony van dyck,#000000
vladimir borovikovsky,#0000FF
federico zandomeneghi,#FF00FF
jacques villon,#808080
willem kalf,#008000
frans snyders,#00FF00
frank auerbach,#800000
theodor aman,#000080
janos tornyai,#808000
pierre paul prud hon,#800080
morris graves,#FF0000
alma tadema lawrence,#C0C0C0
winston churchill,#008080
frederick sommer,#FFFFFF
f lix del marle,#FFFF00
tamara de lempicka,#00FFFF
theodoor van thulden,#000000
charles hermans,#0000FF
francesco solimena,#FF00FF
abraham van strij,#808080
james ensor,#008000
david wilkie,#00FF00
wassily kandinsky,#800000
gosta adrian nilsson,#000080
hippolyte delaroche,#808000
balthus,#800080
osman hamdi,#FF0000
frantisek kupka,#C0C0C0
franklin carmichael,#008080
henri catargi,#FFFFFF
vilmos aba novak,#FFFF00
raoul ubac,#00FFFF
georges rouault,#000000
mario zanini,#0000FF
jean paul lemieux,#FF00FF
octav bancila,#808080
george mavroides,#008000
edouard vuillard,#00FF00
vladimir dimitrov,#800000
