name,index,rank
remedios-varo_female-spirit-of-the-night.jpg,8349,242
salvador-dali_portrait-of-my-cousin-ana-maria-domenech.jpg,8635,243
m-c-escher_flor-de-pascua-la-pensee.jpg,5890,244
jules-perahim_grains-of-beauty.jpg,5278,245
gustave-moreau_voices-of-evening.jpg,3677,246
heorhiy-narbut_sheet-v-from-unpublished-ukrainian-alphabet-1919.jpg,3957,247
vajda-lajos_rider-1939.jpg,9107,248
jean-david_fish.jpg,4818,249
georges-papazoff_surrealist-composition-1928.jpg,2746,250
joan-miro_portrait-ii.jpg,4876,251
salvador-dali_homage-to-raimundus-lullus-design-for-a-ceiling-painting.jpg,8596,252
lucian-freud_the-painter-s-room-1944.jpg,5858,253
harry-clarke_the-year-s-at-the-spring-1920-9.jpg,3725,254
m-c-escher_vignette.jpg,5922,255
vincent-van-gogh_barred-windows.jpg,9318,256
m-c-escher_seated-man-with-cat-on-his-lap.jpg,5914,257
paul-klee_mess-of-fish-1940.jpg,7526,258
giovanni-battista-piranesi_the-roman-antiquities-t-1-plate-v-map-of-ancient-rome-and-forma-urbis-1756.jpg,3080,259
saul-steinberg_wyoming-1985.jpg,8743,260
gino-severini_window-with-doves.jpg,2823,261
heorhiy-narbut_cover-of-fairy-tales-teremok-mizgir-1910.jpg,3937,262
aubrey-beardsley_the-cover-of-tristan-and-isolde.jpg,719,263
henri-de-toulouse-lautrec_dinner-menu-at-may-belfort-s-18-rue-clapeyron.jpg,3755,264
vincent-van-gogh_still-life-with-coffee-pot-1888.jpg,9453,265
heorhiy-narbut_the-arms-of-hetman-cyril-razumovsky-1915.jpg,3959,266
georges-hugnet_la-querelle-tout-en-elle-1936.jpg,2729,267
giovanni-battista-piranesi_group-of-three-women-in-the-palace-of-the-villa-borghese.jpg,2965,268
zinaida-serebriakova_terrace.jpg,9992,269
giovanni-battista-piranesi_ancient-marble-altar-in-the-palace-of-the-farnesina.jpg,2837,270
giovanni-battista-piranesi_antique-vase-of-basalt-found-on-the-quirinal-in-1772.jpg,2847,271
